,job_sub_time,job_id,int_num,req_cpu_core,req_mem_GB,req_gpu,req_bit_per_sec,int_runtime_sec
184,26114.0,80c3d8c111f4e5f6734dbf2f_worker,1.0,6.0,29.296875,1.0,30275295.37706746,21.0
185,26210.0,58b9190b7e83d6d08fc37004_worker,3.0,6.0,29.296875,1.0,14166058.397636762,61.0
186,26322.0,2fd0c3b7db7669864fef0dca_worker,1.0,6.0,29.296875,1.0,15237934.099272097,21.0
187,26425.0,ef5756e396b44d3e6c33418c_tensorflow,1.0,6.0,29.296875,1.0,23694375.64561706,1325.0
188,26479.0,a2f64ee57f2facbf69f8607f_worker,1.0,6.0,29.296875,1.0,7191525.351759695,21.0
189,26500.0,03fbfbb9bdf1f3df4a521da1_tensorflow,1.0,6.0,29.296875,0.25,29177923.12095469,519.0
190,26534.0,5d407018344f3e64dee59124_tensorflow,1.0,6.0,29.296875,0.25,31008246.34542742,556.0
191,26558.0,3f94f4e31985178e5ea48da4_ps,1.0,6.0,29.296875,1.0,26313217.292304065,51.0
192,26813.0,fd4a4fb257e2ef91f4a1d36d_tensorflow,1.0,12.0,29.296875,0.05,31610212.218434878,44.0
193,26826.0,9ed807b3dcc8d19da2791c21_worker,30.0,5.0,19.53125,0.5,11129399.986285744,4171.633333333333
194,26932.0,700ef08ca5f04080687f9adb_PyTorchWorker,4.0,18.0,58.59375,1.0,56892642.47290902,34.5
195,27011.0,e85b80d6ad24f5bb6d406e44_tensorflow,1.0,6.0,29.296875,1.0,50061992.75673974,41.0
196,27014.0,b44520db37890293e405c4ba_worker,1.0,6.0,29.296875,1.0,22987620.57902635,374.0
197,27043.0,a34a4ef21b76e90feec349bd_worker,2.0,6.0,29.296875,1.0,49747181.328848526,81.5
198,27099.0,f624524f28649b71bfa13a58_worker,1.0,6.0,29.296875,1.0,78232384.1961069,21.0
199,27168.0,cf114ed3d4d57e4936a195b6_ps,2.0,6.0,29.296875,1.0,37985470.2575668,56.0
